Types [2, 1] and maxint [999, 3] detected
--- Evolve in 4000 possible combinations ---
gen	nevals	avg    	min    	max     	std      
40 	5     	0.974402	0.974402	0.974402	0          
41 	4     	0.974402	0.974402	0.974402	0          
42 	6     	0.974402	0.974402	0.974402	0          
43 	4     	0.974402	0.974402	0.974402	0          
44 	5     	0.974402	0.974402	0.974402	0          
45 	8     	0.974346	0.973845	0.974402	0.000166945
46 	8     	0.974402	0.974402	0.974402	0          
47 	4     	0.974402	0.974402	0.974402	0          
48 	8     	0.974402	0.974402	0.974402	0          
49 	10    	0.973011	0.96049 	0.974402	0.00417362 
50 	5     	0.974402	0.974402	0.974402	0          
51 	9     	0.974402	0.974402	0.974402	0          
52 	7     	0.974402	0.974402	0.974402	0          
53 	4     	0.974402	0.974402	0.974402	0          
54 	8     	0.974402	0.974402	0.974402	0          
55 	6     	0.974402	0.974402	0.974402	0          
56 	4     	0.974402	0.974402	0.974402	0          
57 	7     	0.974402	0.974402	0.974402	0          
58 	6     	0.974346	0.973845	0.974402	0.000166945
59 	5     	0.974402	0.974402	0.974402	0          
60 	7     	0.971341	0.943795	0.974402	0.00918197 
61 	4     	0.974012	0.970506	0.974402	0.00116861 
62 	6     	0.974346	0.973845	0.974402	0.000166945
63 	4     	0.974402	0.974402	0.974402	0          
64 	6     	0.974402	0.974402	0.974402	0          
65 	6     	0.974346	0.973845	0.974402	0.000166945
66 	8     	0.974402	0.974402	0.974402	0          
67 	10    	0.974402	0.974402	0.974402	0          
68 	5     	0.974402	0.974402	0.974402	0          
69 	4     	0.974402	0.974402	0.974402	0          
70 	6     	0.974402	0.974402	0.974402	0          
71 	7     	0.974402	0.974402	0.974402	0          
72 	7     	0.974402	0.974402	0.974402	0          
73 	4     	0.974402	0.974402	0.974402	0          
74 	8     	0.974402	0.974402	0.974402	0          
75 	4     	0.974402	0.974402	0.974402	0          
76 	5     	0.973011	0.96049 	0.974402	0.00417362 
77 	5     	0.974402	0.974402	0.974402	0          
78 	7     	0.974402	0.974402	0.974402	0          
79 	7     	0.974402	0.974402	0.974402	0          
80 	2     	0.959711	0.82749 	0.974402	0.0440735  
81 	4     	0.974346	0.973845	0.974402	0.000166945
82 	6     	0.974402	0.974402	0.974402	0          
83 	8     	0.974346	0.973845	0.974402	0.000166945
84 	8     	0.974346	0.973845	0.974402	0.000166945
85 	5     	0.974402	0.974402	0.974402	0          
86 	5     	0.971341	0.943795	0.974402	0.00918197 
87 	7     	0.974402	0.974402	0.974402	0          
88 	6     	0.974402	0.974402	0.974402	0          
89 	6     	0.973011	0.96049 	0.974402	0.00417362 
90 	8     	0.974402	0.974402	0.974402	0          
91 	6     	0.974402	0.974402	0.974402	0          
92 	7     	0.974402	0.974402	0.974402	0          
93 	3     	0.974402	0.974402	0.974402	0          
94 	3     	0.974402	0.974402	0.974402	0          
95 	8     	0.974402	0.974402	0.974402	0          
96 	4     	0.974402	0.974402	0.974402	0          
97 	9     	0.974402	0.974402	0.974402	0          
98 	5     	0.974402	0.974402	0.974402	0          
99 	8     	0.974402	0.974402	0.974402	0          
100	1     	0.974402	0.974402	0.974402	0          
101	5     	0.974402	0.974402	0.974402	0          
102	6     	0.974402	0.974402	0.974402	0          
103	3     	0.974402	0.974402	0.974402	0          
104	8     	0.974402	0.974402	0.974402	0          
105	8     	0.974402	0.974402	0.974402	0          
106	10    	0.974402	0.974402	0.974402	0          
107	8     	0.974402	0.974402	0.974402	0          
108	8     	0.974402	0.974402	0.974402	0          
109	6     	0.959711	0.82749 	0.974402	0.0440735  
110	6     	0.974402	0.974402	0.974402	0          
111	2     	0.974402	0.974402	0.974402	0          
112	3     	0.974402	0.974402	0.974402	0          
113	9     	0.973011	0.96049 	0.974402	0.00417362 
114	2     	0.974402	0.974402	0.974402	0          
115	6     	0.974402	0.974402	0.974402	0          
116	8     	0.974402	0.974402	0.974402	0          
117	4     	0.974402	0.974402	0.974402	0          
118	8     	0.974402	0.974402	0.974402	0          
119	6     	0.959711	0.82749 	0.974402	0.0440735  
120	8     	0.974402	0.974402	0.974402	0          
121	5     	0.974402	0.974402	0.974402	0          
122	8     	0.974402	0.974402	0.974402	0          
123	3     	0.974402	0.974402	0.974402	0          
124	7     	0.971341	0.943795	0.974402	0.00918197 
125	8     	0.974402	0.974402	0.974402	0          
126	9     	0.974346	0.973845	0.974402	0.000166945
127	6     	0.974402	0.974402	0.974402	0          
128	8     	0.974402	0.974402	0.974402	0          
129	6     	0.974402	0.974402	0.974402	0          
130	6     	0.974402	0.974402	0.974402	0          
131	4     	0.974402	0.974402	0.974402	0          
132	10    	0.971341	0.943795	0.974402	0.00918197 
133	8     	0.959711	0.82749 	0.974402	0.0440735  
134	7     	0.974402	0.974402	0.974402	0          
135	8     	0.974402	0.974402	0.974402	0          
136	8     	0.974402	0.974402	0.974402	0          
137	4     	0.974346	0.973845	0.974402	0.000166945
138	6     	0.974402	0.974402	0.974402	0          
139	1     	0.974346	0.973845	0.974402	0.000166945
140	3     	0.974402	0.974402	0.974402	0          
Best individual is: {'C': 3.2285091469020486, 'kernel': 'rbf'}
with fitness: 0.9744017807456873
0
Types [2, 1] and maxint [999, 3] detected
/usr/local/lib/python3.6/dist-packages/deap/creator.py:141: RuntimeWarning: A class named 'FitnessMax' has already been created and it will be overwritten. Consider deleting previous creation of that class or rename it.
  RuntimeWarning)
/usr/local/lib/python3.6/dist-packages/deap/creator.py:141: RuntimeWarning: A class named 'Individual' has already been created and it will be overwritten. Consider deleting previous creation of that class or rename it.
  RuntimeWarning)
--- Evolve in 4000 possible combinations ---
gen	nevals	avg    	min     	max     	std      
0  	10    	0.90601	0.762938	0.973845	0.0892414
1  	7     	0.947412	0.776294	0.973845	0.0573859
2  	6     	0.971174	0.96049 	0.973845	0.00534224
3  	4     	0.952532	0.760712	0.973845	0.0639399 
4  	6     	0.97251 	0.96049 	0.973845	0.00400668
5  	6     	0.973845	0.973845	0.973845	0         
6  	7     	0.973845	0.973845	0.973845	0         
7  	4     	0.973845	0.973845	0.973845	0         
8  	8     	0.973845	0.973845	0.973845	0         
9  	6     	0.97084 	0.943795	0.973845	0.00901503
10 	7     	0.932999	0.760712	0.974402	0.0819219 
11 	6     	0.973957	0.973845	0.974402	0.000222593
12 	3     	0.973957	0.971619	0.974402	0.00081786 
13 	6     	0.973011	0.96049 	0.974402	0.00417362 
14 	8     	0.974402	0.974402	0.974402	0          
15 	9     	0.974402	0.974402	0.974402	0          
16 	7     	0.974346	0.973845	0.974402	0.000166945
17 	6     	0.974402	0.974402	0.974402	0          
18 	10    	0.974402	0.974402	0.974402	0          
19 	7     	0.974402	0.974402	0.974402	0          
20 	10    	0.974402	0.974402	0.974402	0          
21 	7     	0.974402	0.974402	0.974402	0          
22 	3     	0.974402	0.974402	0.974402	0          
23 	4     	0.974402	0.974402	0.974402	0          
24 	8     	0.974402	0.974402	0.974402	0          
25 	8     	0.974402	0.974402	0.974402	0          
26 	5     	0.974402	0.974402	0.974402	0          
27 	5     	0.974402	0.974402	0.974402	0          
28 	5     	0.974402	0.974402	0.974402	0          
29 	6     	0.974346	0.973845	0.974402	0.000166945
30 	10    	0.973011	0.96049 	0.974402	0.00417362 
31 	6     	0.974402	0.974402	0.974402	0          
32 	4     	0.974402	0.974402	0.974402	0          
33 	0     	0.974402	0.974402	0.974402	0          
34 	7     	0.974402	0.974402	0.974402	0          
35 	7     	0.974402	0.974402	0.974402	0          
36 	3     	0.974402	0.974402	0.974402	0          
37 	4     	0.974402	0.974402	0.974402	0          
38 	5     	0.974402	0.974402	0.974402	0          
39 	4     	0.974402	0.974402	0.974402	0          
40 	2     	0.974402	0.974402	0.974402	0          
41 	8     	0.974402	0.974402	0.974402	0          
42 	6     	0.974402	0.974402	0.974402	0          
43 	7     	0.971341	0.943795	0.974402	0.00918197 
44 	6     	0.974402	0.974402	0.974402	0          
45 	9     	0.974346	0.973845	0.974402	0.000166945
46 	5     	0.974346	0.973845	0.974402	0.000166945
47 	6     	0.974402	0.974402	0.974402	0          
48 	8     	0.974402	0.974402	0.974402	0          
49 	5     	0.974402	0.974402	0.974402	0          
50 	5     	0.973011	0.96049 	0.974402	0.00417362 
51 	6     	0.974346	0.973845	0.974402	0.000166945
52 	7     	0.974346	0.973845	0.974402	0.000166945
53 	4     	0.974402	0.974402	0.974402	0          
54 	8     	0.974402	0.974402	0.974402	0          
55 	4     	0.974402	0.974402	0.974402	0          
56 	1     	0.973011	0.96049 	0.974402	0.00417362 
57 	7     	0.974402	0.974402	0.974402	0          
58 	8     	0.974402	0.974402	0.974402	0          
59 	6     	0.974402	0.974402	0.974402	0          
60 	8     	0.974346	0.973845	0.974402	0.000166945
61 	7     	0.974402	0.974402	0.974402	0          
62 	6     	0.974402	0.974402	0.974402	0          
63 	4     	0.974402	0.974402	0.974402	0          
64 	7     	0.974346	0.973845	0.974402	0.000166945
65 	4     	0.973011	0.96049 	0.974402	0.00417362 
66 	8     	0.974402	0.974402	0.974402	0          
67 	8     	0.974346	0.973845	0.974402	0.000166945
68 	5     	0.974012	0.971063	0.974402	0.000997021
69 	10    	0.974402	0.974402	0.974402	0          
70 	5     	0.971341	0.943795	0.974402	0.00918197 
71 	8     	0.974402	0.974402	0.974402	0          
72 	10    	0.974346	0.973845	0.974402	0.000166945
73 	6     	0.974402	0.974402	0.974402	0          
74 	6     	0.974402	0.974402	0.974402	0          
75 	5     	0.974402	0.974402	0.974402	0          
76 	3     	0.974402	0.974402	0.974402	0          
77 	5     	0.959711	0.82749 	0.974402	0.0440735  
78 	3     	0.974402	0.974402	0.974402	0          
79 	6     	0.974402	0.974402	0.974402	0          
80 	10    	0.974402	0.974402	0.974402	0          
81 	8     	0.974402	0.974402	0.974402	0          
82 	6     	0.974346	0.973845	0.974402	0.000166945
83 	7     	0.974402	0.974402	0.974402	0          
84 	7     	0.974402	0.974402	0.974402	0          
85 	7     	0.974402	0.974402	0.974402	0          
86 	8     	0.974402	0.974402	0.974402	0          
87 	5     	0.974402	0.974402	0.974402	0          
88 	6     	0.974402	0.974402	0.974402	0          
89 	3     	0.974346	0.973845	0.974402	0.000166945
90 	0     	0.974402	0.974402	0.974402	0          
91 	5     	0.974402	0.974402	0.974402	0          
92 	6     	0.974402	0.974402	0.974402	0          
93 	4     	0.974402	0.974402	0.974402	0          
94 	5     	0.974346	0.973845	0.974402	0.000166945
95 	5     	0.974346	0.973845	0.974402	0.000166945
96 	6     	0.974402	0.974402	0.974402	0          
97 	8     	0.973011	0.96049 	0.974402	0.00417362 
98 	6     	0.974402	0.974402	0.974402	0          
99 	3     	0.974402	0.974402	0.974402	0          
100	6     	0.974402	0.974402	0.974402	0          
101	8     	0.959711	0.82749 	0.974402	0.0440735  
102	7     	0.974346	0.973845	0.974402	0.000166945
103	6     	0.974402	0.974402	0.974402	0          
104	6     	0.974346	0.973845	0.974402	0.000166945
105	5     	0.974402	0.974402	0.974402	0          
106	7     	0.974402	0.974402	0.974402	0          
107	4     	0.974402	0.974402	0.974402	0          
108	9     	0.971341	0.943795	0.974402	0.00918197 
109	7     	0.974402	0.974402	0.974402	0          
110	4     	0.971285	0.943795	0.974402	0.00916492 
111	6     	0.974402	0.974402	0.974402	0          
112	5     	0.974402	0.974402	0.974402	0          
113	7     	0.974402	0.974402	0.974402	0          
114	7     	0.974402	0.974402	0.974402	0          
115	4     	0.974402	0.974402	0.974402	0          
116	6     	0.974346	0.973845	0.974402	0.000166945
117	6     	0.974402	0.974402	0.974402	0          
118	7     	0.974402	0.974402	0.974402	0          
119	8     	0.974402	0.974402	0.974402	0          
120	3     	0.974346	0.973845	0.974402	0.000166945
121	2     	0.974402	0.974402	0.974402	0          
122	8     	0.973011	0.96049 	0.974402	0.00417362 
123	6     	0.974402	0.974402	0.974402	0          
124	7     	0.974402	0.974402	0.974402	0          
125	6     	0.974402	0.974402	0.974402	0          
126	8     	0.974402	0.974402	0.974402	0          
127	8     	0.958319	0.82749 	0.974402	0.0438065  
128	4     	0.974402	0.974402	0.974402	0          
129	8     	0.974402	0.974402	0.974402	0          
130	7     	0.974402	0.974402	0.974402	0          
131	7     	0.974402	0.974402	0.974402	0          
132	5     	0.974402	0.974402	0.974402	0          
133	5     	0.974346	0.973845	0.974402	0.000166945
134	8     	0.974402	0.974402	0.974402	0          
135	8     	0.974402	0.974402	0.974402	0          
136	4     	0.974402	0.974402	0.974402	0          
137	6     	0.974402	0.974402	0.974402	0          
138	6     	0.974402	0.974402	0.974402	0          
139	9     	0.974402	0.974402	0.974402	0          
140	5     	0.974346	0.973845	0.974402	0.000166945
Best individual is: {'C': 3.2285091469020486, 'kernel': 'rbf'}
with fitness: 0.9744017807456873
1
Types [2, 1] and maxint [999, 3] detected
/usr/local/lib/python3.6/dist-packages/deap/creator.py:141: RuntimeWarning: A class named 'FitnessMax' has already been created and it will be overwritten. Consider deleting previous creation of that class or rename it.
  RuntimeWarning)
/usr/local/lib/python3.6/dist-packages/deap/creator.py:141: RuntimeWarning: A class named 'Individual' has already been created and it will be overwritten. Consider deleting previous creation of that class or rename it.
  RuntimeWarning)
--- Evolve in 4000 possible combinations ---
gen	nevals	avg     	min     	max     	std      
0  	10    	0.845965	0.761269	0.974402	0.0996496
1  	5     	0.928269	0.770729	0.974402	0.0790023
2  	5     	0.970395	0.96049 	0.974402	0.00613546
3  	7     	0.974402	0.974402	0.974402	0         
4  	6     	0.97251 	0.957707	0.974402	0.00495988
5  	4     	0.974402	0.974402	0.974402	0         
6  	7     	0.974068	0.971619	0.974402	0.000832868
7  	4     	0.974235	0.972732	0.974402	0.000500835
8  	2     	0.959711	0.82749 	0.974402	0.0440735  
9  	10    	0.974346	0.973845	0.974402	0.000166945
10 	6     	0.974402	0.974402	0.974402	0          
11 	10    	0.97429 	0.973845	0.974402	0.000222593
12 	3     	0.974402	0.974402	0.974402	0          
13 	8     	0.974402	0.974402	0.974402	0          
14 	4     	0.974402	0.974402	0.974402	0          
15 	6     	0.974402	0.974402	0.974402	0          
16 	3     	0.974402	0.974402	0.974402	0          
17 	7     	0.974346	0.973845	0.974402	0.000166945
18 	9     	0.973011	0.96049 	0.974402	0.00417362 
19 	10    	0.959711	0.82749 	0.974402	0.0440735  
20 	6     	0.974346	0.973845	0.974402	0.000166945
21 	7     	0.974402	0.974402	0.974402	0          
22 	10    	0.974346	0.973845	0.974402	0.000166945
23 	3     	0.974402	0.974402	0.974402	0          
24 	7     	0.974402	0.974402	0.974402	0          
25 	4     	0.974402	0.974402	0.974402	0          
26 	6     	0.974402	0.974402	0.974402	0          
27 	5     	0.974402	0.974402	0.974402	0          
28 	2     	0.974402	0.974402	0.974402	0          
29 	5     	0.974402	0.974402	0.974402	0          
30 	6     	0.974346	0.973845	0.974402	0.000166945
31 	3     	0.974346	0.973845	0.974402	0.000166945
32 	3     	0.974402	0.974402	0.974402	0          
33 	10    	0.974457	0.974402	0.974958	0.000166945
34 	5     	0.974457	0.973845	0.974958	0.000299675
35 	8     	0.974569	0.973845	0.974958	0.000434627
36 	6     	0.973289	0.959933	0.974958	0.00445881 
37 	2     	0.974958	0.974958	0.974958	0          
38 	6     	0.974958	0.974958	0.974958	0          
39 	4     	0.961213	0.83862 	0.974958	0.0408658  
40 	5     	0.974958	0.974958	0.974958	0          
41 	6     	0.971953	0.959933	0.974958	0.00601002 
42 	8     	0.974958	0.974958	0.974958	0          
43 	8     	0.974958	0.974958	0.974958	0          
44 	7     	0.971842	0.943795	0.974958	0.00934891 
45 	6     	0.974847	0.973845	0.974958	0.00033389 
46 	7     	0.974847	0.973845	0.974958	0.00033389 
47 	3     	0.974847	0.973845	0.974958	0.00033389 
48 	6     	0.974847	0.973845	0.974958	0.00033389 
49 	6     	0.974958	0.974958	0.974958	0          
50 	4     	0.974958	0.974958	0.974958	0          
51 	6     	0.974958	0.974958	0.974958	0          
52 	7     	0.974847	0.973845	0.974958	0.00033389 
53 	7     	0.961324	0.83862 	0.974958	0.0409015  
54 	6     	0.973456	0.959933	0.974958	0.00450751 
55 	8     	0.974958	0.974958	0.974958	0          
56 	7     	0.973456	0.959933	0.974958	0.00450751 
57 	9     	0.974847	0.973845	0.974958	0.00033389 
58 	9     	0.970339	0.943795	0.974958	0.00991743 
59 	4     	0.974958	0.974958	0.974958	0          
60 	10    	0.974903	0.974402	0.974958	0.000166945
61 	6     	0.974958	0.974958	0.974958	0          
62 	4     	0.974958	0.974958	0.974958	0          
63 	6     	0.974847	0.973845	0.974958	0.00033389 
64 	4     	0.974958	0.974958	0.974958	0          
65 	6     	0.974958	0.974958	0.974958	0          
66 	4     	0.973623	0.962716	0.974958	0.0036508  
67 	2     	0.974958	0.974958	0.974958	0          
68 	5     	0.974958	0.974958	0.974958	0          
69 	6     	0.961213	0.83862 	0.974958	0.0408658  
70 	5     	0.974958	0.974958	0.974958	0          
71 	9     	0.974958	0.974958	0.974958	0          
72 	6     	0.974513	0.970506	0.974958	0.00133556 
73 	5     	0.974958	0.974958	0.974958	0          
74 	2     	0.974958	0.974958	0.974958	0          
75 	6     	0.974847	0.973845	0.974958	0.00033389 
76 	5     	0.974958	0.974958	0.974958	0          
77 	8     	0.974958	0.974958	0.974958	0          
78 	4     	0.974958	0.974958	0.974958	0          
79 	6     	0.974958	0.974958	0.974958	0          
80 	5     	0.974958	0.974958	0.974958	0          
81 	6     	0.974847	0.973845	0.974958	0.00033389 
82 	6     	0.961213	0.83862 	0.974958	0.0408658  
83 	7     	0.974958	0.974958	0.974958	0          
84 	7     	0.974958	0.974958	0.974958	0          
85 	7     	0.974958	0.974958	0.974958	0          
86 	6     	0.974958	0.974958	0.974958	0          
87 	7     	0.974958	0.974958	0.974958	0          
88 	3     	0.974958	0.974958	0.974958	0          
89 	6     	0.974958	0.974958	0.974958	0          
90 	7     	0.956149	0.786867	0.974958	0.0564274  
91 	8     	0.974958	0.974958	0.974958	0          
92 	1     	0.974958	0.974958	0.974958	0          
93 	8     	0.974958	0.974958	0.974958	0          
94 	5     	0.974958	0.974958	0.974958	0          
95 	9     	0.974736	0.973845	0.974958	0.000445186
96 	4     	0.974958	0.974958	0.974958	0          
97 	6     	0.974958	0.974958	0.974958	0          
98 	5     	0.974958	0.974958	0.974958	0          
99 	4     	0.974847	0.973845	0.974958	0.00033389 
100	5     	0.974958	0.974958	0.974958	0          
101	4     	0.973456	0.959933	0.974958	0.00450751 
102	4     	0.974958	0.974958	0.974958	0          
103	3     	0.974847	0.973845	0.974958	0.00033389 
104	8     	0.961324	0.83862 	0.974958	0.0409015  
105	6     	0.971842	0.943795	0.974958	0.00934891 
106	7     	0.974958	0.974958	0.974958	0          
107	7     	0.974958	0.974958	0.974958	0          
108	5     	0.974958	0.974958	0.974958	0          
109	7     	0.974958	0.974958	0.974958	0          
110	6     	0.974847	0.973845	0.974958	0.00033389 
111	8     	0.974847	0.973845	0.974958	0.00033389 
112	2     	0.974958	0.974958	0.974958	0          
113	8     	0.974958	0.974958	0.974958	0          
114	3     	0.974847	0.973845	0.974958	0.00033389 
115	6     	0.974958	0.974958	0.974958	0          
116	8     	0.974958	0.974958	0.974958	0          
117	8     	0.974958	0.974958	0.974958	0          
118	5     	0.974958	0.974958	0.974958	0          
119	5     	0.974958	0.974958	0.974958	0          
120	8     	0.974958	0.974958	0.974958	0          
121	4     	0.974847	0.973845	0.974958	0.00033389 
122	5     	0.974958	0.974958	0.974958	0          
123	7     	0.974958	0.974958	0.974958	0          
124	8     	0.974736	0.973845	0.974958	0.000445186
125	4     	0.974958	0.974958	0.974958	0          
126	9     	0.974958	0.974958	0.974958	0          
127	4     	0.974847	0.973845	0.974958	0.00033389 
128	7     	0.974958	0.974958	0.974958	0          
129	6     	0.974958	0.974958	0.974958	0          
130	4     	0.974847	0.973845	0.974958	0.00033389 
131	6     	0.974958	0.974958	0.974958	0          
132	5     	0.974958	0.974958	0.974958	0          
133	10    	0.974958	0.974958	0.974958	0          
134	7     	0.974958	0.974958	0.974958	0          
135	6     	0.974958	0.974958	0.974958	0          
136	4     	0.974958	0.974958	0.974958	0          
137	7     	0.974847	0.973845	0.974958	0.00033389 
138	7     	0.974958	0.974958	0.974958	0          
139	7     	0.974847	0.973845	0.974958	0.00033389 
140	8     	0.974958	0.974958	0.974958	0          
Best individual is: {'C': 2.4972420268844906, 'kernel': 'rbf'}
with fitness: 0.9749582637729549
2
Types [2, 1] and maxint [999, 3] detected
/usr/local/lib/python3.6/dist-packages/deap/creator.py:141: RuntimeWarning: A class named 'FitnessMax' has already been created and it will be overwritten. Consider deleting previous creation of that class or rename it.
  RuntimeWarning)
/usr/local/lib/python3.6/dist-packages/deap/creator.py:141: RuntimeWarning: A class named 'Individual' has already been created and it will be overwritten. Consider deleting previous creation of that class or rename it.
  RuntimeWarning)
--- Evolve in 4000 possible combinations ---
gen	nevals	avg     	min     	max     	std      
0  	10    	0.924374	0.760156	0.973845	0.0813511
1  	4     	0.971007	0.96049 	0.974402	0.0053053
2  	8     	0.974012	0.973845	0.974402	0.000255013
3  	2     	0.974179	0.973845	0.974402	0.00027262 
4  	6     	0.971285	0.943795	0.974402	0.00916492 
5  	5     	0.974346	0.973845	0.974402	0.000166945
6  	6     	0.974402	0.974402	0.974402	0          
7  	6     	0.974402	0.974402	0.974402	0          
8  	7     	0.974402	0.974402	0.974402	0          
9  	4     	0.974402	0.974402	0.974402	0          
10 	7     	0.974402	0.974402	0.974402	0          
11 	7     	0.957986	0.810239	0.974402	0.0492487  
12 	6     	0.974402	0.974402	0.974402	0          
13 	4     	0.974402	0.974402	0.974402	0          
14 	5     	0.974402	0.974402	0.974402	0          
15 	5     	0.974402	0.974402	0.974402	0          
16 	7     	0.974402	0.974402	0.974402	0          
17 	10    	0.974346	0.973845	0.974402	0.000166945
18 	5     	0.974402	0.974402	0.974402	0          
19 	8     	0.974402	0.974402	0.974402	0          
20 	7     	0.974402	0.974402	0.974402	0          
21 	8     	0.974402	0.974402	0.974402	0          
22 	7     	0.974402	0.974402	0.974402	0          
23 	8     	0.974402	0.974402	0.974402	0          
24 	7     	0.971341	0.943795	0.974402	0.00918197 
25 	8     	0.974402	0.974402	0.974402	0          
26 	7     	0.957986	0.810239	0.974402	0.0492487  
27 	5     	0.974402	0.974402	0.974402	0          
28 	6     	0.974402	0.974402	0.974402	0          
29 	6     	0.971341	0.943795	0.974402	0.00918197 
30 	6     	0.974402	0.974402	0.974402	0          
31 	6     	0.974402	0.974402	0.974402	0          
32 	8     	0.974402	0.974402	0.974402	0          
33 	5     	0.974346	0.973845	0.974402	0.000166945
34 	4     	0.974402	0.974402	0.974402	0          
35 	6     	0.974402	0.974402	0.974402	0          
36 	5     	0.974402	0.974402	0.974402	0          
37 	4     	0.974402	0.974402	0.974402	0          
38 	9     	0.974346	0.973845	0.974402	0.000166945
39 	7     	0.974402	0.974402	0.974402	0          
40 	4     	0.974402	0.974402	0.974402	0          
41 	3     	0.974402	0.974402	0.974402	0          
42 	5     	0.974402	0.974402	0.974402	0          
43 	8     	0.971341	0.943795	0.974402	0.00918197 
44 	5     	0.974402	0.974402	0.974402	0          
45 	8     	0.974402	0.974402	0.974402	0          
46 	7     	0.954925	0.810239	0.974402	0.0490842  
47 	7     	0.957986	0.810239	0.974402	0.0492487  
48 	4     	0.974402	0.974402	0.974402	0          
49 	5     	0.974402	0.974402	0.974402	0          
50 	6     	0.974402	0.974402	0.974402	0          
51 	8     	0.974346	0.973845	0.974402	0.000166945
52 	6     	0.974346	0.973845	0.974402	0.000166945
53 	8     	0.974402	0.974402	0.974402	0          
54 	8     	0.974402	0.974402	0.974402	0          
55 	4     	0.974235	0.972732	0.974402	0.000500835
56 	7     	0.974402	0.974402	0.974402	0          
57 	10    	0.974402	0.974402	0.974402	0          
58 	4     	0.974402	0.974402	0.974402	0          
59 	7     	0.974402	0.974402	0.974402	0          
60 	7     	0.971285	0.943795	0.974402	0.00916492 
61 	5     	0.974402	0.974402	0.974402	0          
62 	5     	0.974346	0.973845	0.974402	0.000166945
63 	3     	0.974402	0.974402	0.974402	0          
64 	6     	0.974346	0.973845	0.974402	0.000166945
65 	7     	0.954925	0.810239	0.974402	0.0490842  
66 	10    	0.974402	0.974402	0.974402	0          
67 	6     	0.974346	0.973845	0.974402	0.000166945
68 	3     	0.974402	0.974402	0.974402	0          
69 	7     	0.974346	0.973845	0.974402	0.000166945
70 	7     	0.97429 	0.973845	0.974402	0.000222593
71 	3     	0.974402	0.974402	0.974402	0          
72 	7     	0.973011	0.96049 	0.974402	0.00417362 
73 	3     	0.974402	0.974402	0.974402	0          
74 	7     	0.957986	0.810239	0.974402	0.0492487  
75 	8     	0.974346	0.973845	0.974402	0.000166945
76 	6     	0.974402	0.974402	0.974402	0          
77 	7     	0.974402	0.974402	0.974402	0          
78 	6     	0.974402	0.974402	0.974402	0          
79 	9     	0.974402	0.974402	0.974402	0          
80 	8     	0.974402	0.974402	0.974402	0          
81 	6     	0.95793 	0.810239	0.974402	0.0492305  
82 	8     	0.973011	0.96049 	0.974402	0.00417362 
83 	6     	0.974346	0.973845	0.974402	0.000166945
84 	8     	0.974402	0.974402	0.974402	0          
85 	6     	0.974402	0.974402	0.974402	0          
86 	6     	0.974402	0.974402	0.974402	0          
87 	5     	0.974402	0.974402	0.974402	0          
88 	9     	0.974402	0.974402	0.974402	0          
89 	7     	0.974402	0.974402	0.974402	0          
90 	6     	0.974402	0.974402	0.974402	0          
91 	9     	0.974346	0.973845	0.974402	0.000166945
92 	5     	0.974402	0.974402	0.974402	0          
93 	5     	0.974402	0.974402	0.974402	0          
94 	10    	0.974346	0.973845	0.974402	0.000166945
95 	6     	0.974402	0.974402	0.974402	0          
